MOJI,　　うち夫婦のみの世帯,　　うち夫婦と子供から成る世帯,　核家族以外の世帯,６歳未満親族のいる一般世帯総数,１８歳未満親族のいる一般世帯総数,６５歳以上親族のいる一般世帯総数,持ち家,民営借家
板橋１丁目,688,565,100,210,445,957,1523,2337
板橋２丁目,480,417,83,134,309,804,1062,2252
板橋３丁目,441,496,105,171,369,883,1284,1688
板橋４丁目,381,397,83,140,283,783,1047,1712
加賀１丁目,364,647,40,264,487,356,1149,101
加賀２丁目,349,699,37,199,557,453,1337,540
大谷口１丁目,183,217,53,62,128,371,473,610
大谷口２丁目,325,385,75,97,277,572,899,971
向原１丁目,206,275,56,119,200,311,348,818
向原２丁目,213,231,51,90,164,339,421,1130
向原３丁目,305,287,43,150,229,534,201,467
小茂根１丁目,368,406,69,129,306,624,823,1571
小茂根２丁目,317,440,95,147,320,564,906,1145
小茂根３丁目,248,420,30,117,301,311,702,495
小茂根４丁目,238,327,49,103,256,387,589,1167
小茂根５丁目,81,146,13,52,115,105,221,281
常盤台１丁目,355,447,80,147,351,712,1134,1134
常盤台２丁目,155,200,42,44,118,408,543,444
常盤台３丁目,207,305,75,88,214,557,730,889
常盤台４丁目,189,207,63,80,169,443,456,782
南常盤台１丁目,259,265,58,77,206,525,762,1400
南常盤台２丁目,246,322,51,103,231,530,777,1010
東新町１丁目,373,512,70,170,377,752,946,1621
東新町２丁目,324,603,84,169,431,709,1063,1015
上板橋１丁目,150,181,55,66,143,370,394,790
上板橋２丁目,359,485,80,121,317,826,1255,1365
上板橋３丁目,209,157,45,53,119,398,476,763
志村１丁目,473,552,75,151,388,871,1436,1144
志村２丁目,418,540,55,155,389,632,1208,664
志村３丁目,309,300,46,119,234,610,691,588
坂下１丁目,532,583,93,169,428,1140,1233,1121
坂下２丁目,477,733,99,206,544,951,1275,665
坂下３丁目,760,991,122,380,734,1336,1699,759
東坂下１丁目,189,320,41,131,260,287,624,306
東坂下２丁目,124,133,19,46,106,257,424,168
小豆沢１丁目,320,429,34,171,347,546,990,551
小豆沢２丁目,478,681,100,287,530,771,1335,847
小豆沢３丁目,200,160,21,57,114,294,458,429
小豆沢４丁目,290,449,60,128,326,546,968,820
西台１丁目,195,300,69,103,232,513,554,492
西台２丁目,302,506,81,163,373,624,889,790
西台３丁目,267,472,70,128,321,580,942,552
西台４丁目,183,336,41,77,230,287,537,224
中台１丁目,440,564,109,174,399,969,1394,1423
中台２丁目,229,419,56,122,309,450,784,421
中台３丁目,840,937,97,188,547,1549,2548,432
若木１丁目,348,557,68,185,384,653,1245,554
若木２丁目,321,328,65,95,236,843,754,646
若木３丁目,181,310,41,89,226,378,730,244
蓮根１丁目,214,308,57,127,273,407,639,761
蓮根２丁目,664,843,142,222,602,1339,1379,1428
蓮根３丁目,658,814,110,202,575,1306,1309,972
前野町１丁目,420,606,67,217,474,833,1049,494
前野町２丁目,591,1007,94,462,828,900,2105,901
前野町３丁目,416,836,79,234,710,677,1414,768
前野町４丁目,314,445,86,139,336,756,808,691
前野町５丁目,251,477,57,160,343,514,929,518
前野町６丁目,430,551,73,128,328,957,1384,720
赤塚１丁目,310,415,84,142,296,639,800,1151
赤塚２丁目,451,538,76,180,419,790,1120,1860
赤塚３丁目,347,411,72,142,324,689,774,2268
赤塚４丁目,351,456,85,135,332,629,853,1221
赤塚５丁目,240,433,67,115,338,501,896,735
赤塚６丁目,300,447,87,133,360,637,840,1103
赤塚７丁目,246,426,89,135,337,558,771,894
赤塚８丁目,63,157,18,50,126,107,261,102
赤塚新町１丁目,102,94,27,27,50,205,253,461
赤塚新町２丁目,137,183,43,67,149,271,375,660
赤塚新町３丁目,602,769,71,255,523,963,1203,1280
四葉１丁目,184,276,42,99,240,317,511,506
四葉２丁目,152,331,45,118,287,207,463,302
三園１丁目,342,719,88,248,573,619,1186,1318
三園２丁目,76,127,17,43,81,131,240,219
成増１丁目,596,840,85,308,646,844,1597,1662
成増２丁目,409,509,85,211,423,589,1086,1535
成増３丁目,593,886,108,392,693,834,1702,2099
成増４丁目,346,536,97,161,392,707,1061,1553
成増５丁目,333,372,71,108,303,797,527,681
徳丸１丁目,532,688,113,213,475,1187,1576,1874
徳丸２丁目,371,409,77,127,276,639,842,1266
徳丸３丁目,629,950,120,259,672,1093,1796,1629
徳丸４丁目,352,764,85,275,600,670,1321,943
徳丸５丁目,155,328,48,112,250,273,416,456
徳丸６丁目,367,736,95,242,567,625,1096,1128
徳丸７丁目,136,272,34,93,207,196,291,452
徳丸８丁目,125,344,33,129,288,184,404,441
桜川１丁目,0,0,0,0,0,0,0,0
桜川２丁目,194,298,39,95,231,352,478,697
桜川３丁目,171,238,42,75,165,353,441,585
高島平１丁目,564,884,105,353,755,972,1012,3215
高島平２丁目,1468,1039,169,271,632,4426,489,514
高島平３丁目,742,658,68,131,361,1557,1885,218
高島平４丁目,127,251,29,78,179,307,440,490
高島平５丁目,249,382,60,90,239,564,789,721
高島平６丁目,0,0,0,0,0,0,0,0
高島平７丁目,402,486,86,187,428,762,781,1718
高島平８丁目,285,441,50,171,355,395,384,1424
高島平９丁目,827,898,109,327,672,1756,1386,1075
新河岸１丁目,233,347,48,101,281,422,413,152
新河岸２丁目,351,235,42,52,196,968,184,30
新河岸３丁目,58,92,12,18,57,101,194,78
舟渡１丁目,216,410,41,172,336,304,814,678
舟渡２丁目,351,515,49,187,386,543,770,558
舟渡３丁目,106,162,29,59,131,195,307,233
舟渡４丁目,2,3,1,1,2,15,9,16
